year,channel_name,is_public_channel,avg_female_share,avg_male_share,total_female_duration,total_male_duration,n_obs
2011,France 3,True,0.29821827251532657,0.7017817274846735,1347498.82,3142369.72,1637
2011,France 5,True,0.27474265673672865,0.7252573432632713,1266842.18,3432135.7600000002,1686
2011,France O,True,0.3420719715624772,0.6579280284375227,1339022.32,2573456.3800000004,1630
2011,Histoire,False,0.1616202291785226,0.8383797708214774,731714.82,3767154.46,1672
2011,I-Télé/CNews,False,0.3969528317965832,0.6030471682034169,2013887.0400000003,3056359.52,1613
2011,LCI,False,0.3367915186958947,0.6632084813041054,1796318.92,3537230.38,1673
2011,LCP/Public Sénat,True,0.26840985995455885,0.7315901400454411,1530560.48,4180171.3200000003,1755
2011,La chaîne Météo,False,0.27054601222592145,0.7294539877740785,792048.34,2137724.48,933
2011,M6,False,0.3921738155567911,0.6078261844432089,1576626.2,2461828.6,1611
2011,Monte Carlo TMC,False,0.29346181136416577,0.7065381886358343,1192270.18,2856857.4,1707
2011,NRJ 12,False,0.27154631201243307,0.7284536879875668,1060869.4000000001,2810829.2600000002,1653
2011,Paris Première,False,0.252778354063379,0.7472216459366209,583752.9400000001,1703568.04,911
2011,Planète+,False,0.1569818324145185,0.8430181675854815,389601.60000000003,2076283.3800000001,931
2011,TF1,False,0.35015486024680925,0.6498451397531907,1461290.4200000002,2755459.58,1661
2011,TV Breizh,False,0.2972717232632628,0.7027282767367372,660268.7000000001,1549157.98,896
2011,TV5 Monde,True,0.28579745446868987,0.7142025455313101,769725.92,1912272.84,947
2011,Toute l'Histoire,False,0.2064329673764827,0.7935670326235174,553702.22,2111767.42,963
2011,Téva,False,0.4413155370593826,0.5586844629406174,1726257.58,2123791.86,1665
2011,Voyage,False,0.24950050878884955,0.7504994912111503,604973.18,1814049.84,941
2011,W9,False,0.34134237619415425,0.6586576238058458,1074775.6400000001,2195379.14,1672
2012,ARTE,True,0.29727176989150855,0.7027282301084914,1295737.36,3031552.5,1689
2012,Animaux,False,0.3484643748390285,0.6515356251609715,938354.2200000001,1747926.92,972
2012,BFM TV,False,0.35441136464064005,0.64558863535936,1851898.0,3376719.34,1650
2012,Canal+,False,0.22841298692301187,0.7715870130769881,960719.2200000001,3337759.3000000003,1678
2012,Canal+ Sport,False,0.06076843659816492,0.9392315634018351,153674.19999999998,2794899.22,978
2012,Chasse et pêche,False,0.07106675135493548,0.9289332486450644,157297.32000000004,2083978.8,897
2012,Chérie 25,False,0.5881441995840986,0.4118558004159015,141753.68000000002,94304.20000000001,89
2012,Comédie+,False,0.31893254734620186,0.6810674526537982,825940.56,1762705.02,954
2012,D8/C8,False,0.25758619051190046,0.7424138094880995,290747.56,826128.4,406
2012,Euronews,False,0.30564704861337366,0.6943529513866263,776180.74,1759266.84,916
2012,Eurosport France,False,0.08437809856552829,0.9156219014344718,405107.44000000006,4606522.98,1692
2012,France 2,True,0.3279118449844103,0.6720881550155897,1528391.1800000002,3041430.86,1613
