year,channel_name,theme,total_subjects,total_duration,n_days
2009,M6,Sciences et techniques,71,5097,63
2009,M6,Société,844,54037,321
2009,M6,Sport,482,22709,261
2009,TF1,Catastrophes,595,45020,242
2009,TF1,Culture-loisirs,695,66925,317
2009,TF1,Economie,780,67362,317
2009,TF1,Education,194,16906,133
2009,TF1,Environnement,358,33440,207
2009,TF1,Faits divers,390,30710,229
2009,TF1,Histoire-hommages,230,22834,114
2009,TF1,International,692,49419,293
2009,TF1,Justice,435,36064,237
2009,TF1,Politique France,343,27021,211
2009,TF1,Santé,532,48029,257
2009,TF1,Sciences et techniques,182,16606,135
2009,TF1,Société,1408,119924,350
2009,TF1,Sport,681,45346,306
2010,Arte,Catastrophes,203,16205,134
2010,Arte,Culture-loisirs,973,127733,339
2010,Arte,Economie,312,33873,187
2010,Arte,Education,27,3446,22
2010,Arte,Environnement,128,12581,109
2010,Arte,Faits divers,40,3486,36
2010,Arte,Histoire-hommages,84,8803,65
2010,Arte,International,1279,111007,360
2010,Arte,Justice,132,13583,102
2010,Arte,Politique France,113,12015,90
2010,Arte,Santé,47,4724,40
2010,Arte,Sciences et techniques,52,4829,41
2010,Arte,Société,528,52249,269
2010,Arte,Sport,29,3351,23
2010,France 2,Catastrophes,759,55148,263
2010,France 2,Culture-loisirs,525,53218,300
2010,France 2,Economie,509,45973,244
2010,France 2,Education,145,15481,112
2010,France 2,Environnement,325,22927,191
2010,France 2,Faits divers,284,20457,183
2010,France 2,Histoire-hommages,137,11310,92
2010,France 2,International,853,55702,304
2010,France 2,Justice,365,32439,215
2010,France 2,Politique France,561,45693,239
2010,France 2,Santé,237,25188,168
2010,France 2,Sciences et techniques,85,7652,69
