year,channel_name,theme,total_subjects,total_duration,n_days
2020,M6,Sport,209,14984,138
2020,TF1,Catastrophes,336,32353,159
2020,TF1,Culture-loisirs,214,30305,138
2020,TF1,Economie,1084,149242,329
2020,TF1,Education,185,21983,104
2020,TF1,Environnement,287,44467,173
2020,TF1,Faits divers,182,17555,121
2020,TF1,Histoire-hommages,116,14760,76
2020,TF1,International,280,31836,137
2020,TF1,Justice,104,12292,82
2020,TF1,Politique France,424,48076,175
2020,TF1,Santé,3073,346809,345
2020,TF1,Sciences et techniques,114,19331,99
2020,TF1,Société,805,104324,286
2020,TF1,Sport,86,8044,61
