year,is_public_channel,theme,total_subjects,total_duration,n_days
2008,True,Sport,1419,100339,344
2009,False,Catastrophes,849,61258,263
2009,False,Culture-loisirs,1021,93304,344
2009,False,Economie,1110,89911,338
2009,False,Education,295,24699,159
2009,False,Environnement,481,41610,239
2009,False,Faits divers,733,49794,278
2009,False,Histoire-hommages,323,29752,136
2009,False,International,1076,69588,312
2009,False,Justice,789,58430,273
2009,False,Politique France,544,40568,240
2009,False,Santé,801,67476,286
2009,False,Sciences et techniques,253,21703,162
2009,False,Société,2252,173961,358
2009,False,Sport,1163,68055,327
2009,True,Catastrophes,877,64850,245
2009,True,Culture-loisirs,1092,116695,348
2009,True,Economie,1197,106190,320
2009,True,Education,271,25909,151
2009,True,Environnement,461,41977,213
2009,True,Faits divers,701,49654,258
2009,True,Histoire-hommages,363,32674,152
2009,True,International,1678,136533,342
2009,True,Justice,804,72738,277
2009,True,Politique France,706,61647,265
2009,True,Santé,839,77158,269
2009,True,Sciences et techniques,211,20047,137
2009,True,Société,2174,192894,359
2009,True,Sport,930,58055,318
2010,False,Catastrophes,1442,98516,308
2010,False,Culture-loisirs,1038,92423,344
2010,False,Economie,839,67274,299
2010,False,Education,300,25962,168
2010,False,Environnement,687,52391,270
2010,False,Faits divers,735,45127,288
2010,False,Histoire-hommages,220,16590,119
2010,False,International,955,56707,299
2010,False,Justice,690,46225,271
2010,False,Politique France,781,61870,275
2010,False,Santé,421,37083,230
2010,False,Sciences et techniques,206,17471,143
2010,False,Société,2608,201282,360
2010,False,Sport,1370,87709,330
2010,True,Catastrophes,1331,101429,292
2010,True,Culture-loisirs,909,98210,338
2010,True,Economie,843,78058,292
2010,True,Education,256,27814,142
2010,True,Environnement,569,43545,238
2010,True,Faits divers,554,40576,237
2010,True,Histoire-hommages,239,20019,111
2010,True,International,1549,107940,341
2010,True,Justice,692,61278,261
2010,True,Politique France,965,84551,280
2010,True,Santé,434,46017,230
2010,True,Sciences et techniques,138,13454,98
2010,True,Société,2600,233819,360
2010,True,Sport,1133,82799,311
2011,False,Catastrophes,787,53919,263
2011,False,Culture-loisirs,1279,112721,357
2011,False,Economie,1219,104824,318
2011,False,Education,294,26864,157
2011,False,Environnement,708,55394,254
2011,False,Faits divers,1018,70024,312
2011,False,Histoire-hommages,214,15623,120
2011,False,International,2015,139637,349
2011,False,Justice,1064,78617,288
2011,False,Politique France,915,71807,285
2011,False,Santé,573,50193,259
2011,False,Sciences et techniques,234,19005,154
2011,False,Société,2243,178050,357
2011,False,Sport,959,63262,317
2011,True,Catastrophes,751,52295,243
2011,True,Culture-loisirs,828,84842,321
2011,True,Economie,1285,121174,316
2011,True,Education,291,32555,164
2011,True,Environnement,636,53749,230
2011,True,Faits divers,873,62516,300
2011,True,Histoire-hommages,233,19705,108
2011,True,International,2803,202330,357
2011,True,Justice,1048,89724,281
2011,True,Politique France,1323,114908,320
2011,True,Santé,510,51618,229
2011,True,Sciences et techniques,201,18476,126
2011,True,Société,1814,169993,346
2011,True,Sport,885,61515,311
2012,False,Catastrophes,871,59363,247
2012,False,Culture-loisirs,1290,119362,357
2012,False,Economie,1281,112812,337
2012,False,Education,267,25530,156
2012,False,Environnement,516,41698,214
2012,False,Faits divers,997,71935,310
2012,False,Histoire-hommages,264,21034,134
2012,False,International,1154,76017,328
2012,False,Justice,656,50252,265
2012,False,Politique France,1783,146224,324
2012,False,Santé,464,43364,230
2012,False,Sciences et techniques,243,22267,157
2012,False,Société,2280,187107,357
2012,False,Sport,1167,84252,325
2012,True,Catastrophes,877,58046,244
2012,True,Culture-loisirs,740,79638,305
2012,True,Economie,1653,156020,345
2012,True,Education,317,39579,175
2012,True,Environnement,544,44697,225
2012,True,Faits divers,866,64790,276
2012,True,Histoire-hommages,257,21759,131
2012,True,International,1580,109108,350
2012,True,Justice,667,55001,258
2012,True,Politique France,2093,184213,334
2012,True,Santé,464,52373,236
2012,True,Sciences et techniques,206,19805,136
2012,True,Société,2208,226995,356
2012,True,Sport,1132,77571,297
2013,False,Catastrophes,956,69574,262
2013,False,Culture-loisirs,1309,130212,360
2013,False,Economie,1267,119024,339
2013,False,Education,311,30432,177
2013,False,Environnement,463,37635,226
2013,False,Faits divers,946,70063,314
2013,False,Histoire-hommages,284,23513,133
2013,False,International,1482,116980,331
2013,False,Justice,639,51888,260
2013,False,Politique France,907,77023,286
2013,False,Santé,443,41219,236
2013,False,Sciences et techniques,235,22066,161
2013,False,Société,2546,225623,364
2013,False,Sport,857,65856,294
2013,True,Catastrophes,1147,80032,277
2013,True,Culture-loisirs,803,99303,326
2013,True,Economie,1638,171652,349
2013,True,Education,301,38213,173
2013,True,Environnement,647,52623,266
2013,True,Faits divers,879,64984,287
2013,True,Histoire-hommages,348,30965,147
2013,True,International,1783,129774,337
2013,True,Justice,691,60069,261
2013,True,Politique France,1091,93196,294
2013,True,Santé,490,53806,230
2013,True,Sciences et techniques,236,23642,154
2013,True,Société,2661,271250,365
2013,True,Sport,798,52077,284
2014,False,Catastrophes,1101,81577,259
2014,False,Culture-loisirs,1166,121156,358
2014,False,Economie,1082,105982,331
2014,False,Education,284,29213,169
2014,False,Environnement,568,48516,229
2014,False,Faits divers,709,51300,288
2014,False,Histoire-hommages,305,23832,138
2014,False,International,1551,119428,342
2014,False,Justice,737,60797,269
2014,False,Politique France,936,82678,284
2014,False,Santé,449,41618,226
2014,False,Sciences et techniques,225,23936,163
2014,False,Société,2195,193968,360
2014,False,Sport,1163,91078,314
2014,True,Catastrophes,1181,89146,274
2014,True,Culture-loisirs,758,94308,299
2014,True,Economie,1411,160629,342
2014,True,Education,213,28663,130
2014,True,Environnement,723,62108,253
2014,True,Faits divers,589,43796,249
2014,True,Histoire-hommages,429,40268,175
2014,True,International,1872,137853,350
2014,True,Justice,733,67203,253
2014,True,Politique France,1217,114644,304
2014,True,Santé,516,52826,227
2014,True,Sciences et techniques,231,24538,150
2014,True,Société,2294,234013,353
2014,True,Sport,1072,71460,293
2015,False,Catastrophes,935,72405,237
2015,False,Culture-loisirs,1086,111579,317
2015,False,Economie,1066,105648,292
2015,False,Education,246,25882,137
2015,False,Environnement,623,58569,227
2015,False,Faits divers,538,41048,212
2015,False,Histoire-hommages,191,16230,101
2015,False,International,1254,103968,296
2015,False,Justice,446,36115,202
2015,False,Politique France,1763,177528,285
2015,False,Santé,380,38316,194
2015,False,Sciences et techniques,253,26653,170
