year,channel_name,theme,total_subjects,total_duration,n_days,total_subjects_all_themes,theme_share,avg_female_share,avg_male_share
2013,TF1,Economie,791,79121,311,7037,0.11240585476765667,0.36466221581051017,0.6353377841894897
2014,France 2,Economie,862,106269,308,7978,0.10804712960641764,0.3453831363112629,0.6546168636887372
2014,France 3,Economie,549,54360,273,5261,0.1043527846417031,0.29673796543057757,0.7032620345694224
2014,M6,Economie,402,38997,236,5631,0.0713905167820991,0.41165212943524265,0.5883478705647573
2014,TF1,Economie,680,66985,296,6840,0.09941520467836257,0.3705128232989756,0.6294871767010244
2015,France 2,Economie,919,120093,276,6711,0.13693935330055135,0.35555616138705537,0.6444438386129447
2015,France 3,Economie,512,51170,229,4514,0.11342490031014621,0.29749708521732615,0.7025029147826738
2015,M6,Economie,389,34381,204,5172,0.07521268368136118,0.40791561019796263,0.5920843898020374
2015,TF1,Economie,677,71267,265,6098,0.11102000655952772,0.35523936684923507,0.6447606331507649
2016,France 2,Economie,718,98627,288,6874,0.10445155659004947,0.335066611290767,0.6649333887092331
2016,France 3,Economie,475,51349,250,4966,0.09565042287555377,0.3243162183799622,0.6756837816200377
2016,M6,Economie,377,35992,238,5909,0.06380098155356237,0.41293177765030864,0.5870682223496914
2016,TF1,Economie,635,72098,274,6560,0.09679878048780488,0.37666034338367316,0.6233396566163268
2017,France 2,Economie,741,102678,292,6354,0.1166194523135033,0.3575824853419768,0.6424175146580233
2017,France 3,Economie,484,50999,252,4785,0.10114942528735632,0.34530453147396,0.65469546852604
2017,M6,Economie,392,36436,235,5571,0.07036438700412852,0.4374584978412171,0.562541502158783
2017,TF1,Economie,676,83782,294,6100,0.11081967213114755,0.3840220579668857,0.6159779420331143
2018,France 2,Economie,849,104668,306,6310,0.1345483359746434,0.3633825682400644,0.6366174317599356
2018,France 3,Economie,493,54234,249,4798,0.1027511463109629,0.34802393356750483,0.6519760664324951
2018,M6,Economie,435,40513,250,5487,0.07927829414980864,0.42497779964628846,0.5750222003537115
2018,TF1,Economie,844,103719,305,6058,0.1393199075602509,0.38376840544014895,0.616231594559851
2019,France 2,Economie,809,102907,305,6002,0.13478840386537821,0.3788897635886644,0.6211102364113357
2019,France 3,Economie,517,56265,274,4738,0.10911777121148164,0.3508603539792523,0.6491396460207478
2019,M6,Economie,402,37299,243,5469,0.07350521119034559,0.4384163030894098,0.5615836969105902
2019,TF1,Economie,850,114999,335,5585,0.1521933751119069,0.4190758031828693,0.5809241968171307
2010,France 2,Education,145,15481,112,7015,0.020669992872416252,0.2798687260951868,0.7201312739048131
2010,France 3,Education,111,12333,87,5197,0.021358476043871463,0.2983292962870903,0.7016707037129097
2010,M6,Education,122,9277,91,5124,0.023809523809523808,0.3960734782522851,0.6039265217477149
2010,TF1,Education,178,16685,135,7168,0.024832589285714284,0.3268777265697555,0.6731222734302444
2011,France 2,Education,179,20970,119,7918,0.022606718868401113,0.3003856275098211,0.6996143724901788
2011,France 3,Education,112,11585,96,5563,0.020133021750853856,0.29821827251532657,0.7017817274846735
2011,M6,Education,111,9645,83,5558,0.019971212666426773,0.3921738155567911,0.6078261844432089
2011,TF1,Education,183,17219,129,7964,0.022978402812656958,0.35015486024680925,0.6498451397531907
2012,France 2,Education,200,26929,137,8241,0.024268899405411964,0.3279118449844103,0.6720881550155897
2012,France 3,Education,117,12650,88,5363,0.021816147678538133,0.3011573633003392,0.6988426366996607
2012,M6,Education,99,9005,78,5533,0.017892644135188866,0.40754850482157173,0.5924514951784282
2012,TF1,Education,168,16525,124,7700,0.02181818181818182,0.36169019916989725,0.6383098008301028
2013,France 2,Education,178,24434,128,8332,0.021363418146903505,0.34255751561709413,0.6574424843829059
2013,France 3,Education,123,13779,95,5181,0.02374059061957151,0.3040360116916624,0.6959639883083376
2013,M6,Education,131,10589,92,5608,0.023359486447931527,0.40690088030543853,0.5930991196945615
2013,TF1,Education,180,19843,138,7037,0.025579081995168396,0.36466221581051017,0.6353377841894897
2014,France 2,Education,119,17708,91,7978,0.014916019052394083,0.3453831363112629,0.6546168636887372
2014,France 3,Education,94,10955,73,5261,0.017867325603497432,0.29673796543057757,0.7032620345694224
2014,M6,Education,120,11156,88,5631,0.021310602024507193,0.41165212943524265,0.5883478705647573
2014,TF1,Education,164,18057,129,6840,0.023976608187134502,0.3705128232989756,0.6294871767010244
2015,France 2,Education,110,15074,76,6711,0.01639099985099091,0.35555616138705537,0.6444438386129447
2015,France 3,Education,87,10797,70,4514,0.019273371732388127,0.29749708521732615,0.7025029147826738
2015,M6,Education,102,9378,69,5172,0.019721577726218097,0.40791561019796263,0.5920843898020374
2015,TF1,Education,144,16504,107,6098,0.02361429977041653,0.35523936684923507,0.6447606331507649
2016,France 2,Education,78,12401,62,6874,0.011347105033459412,0.335066611290767,0.6649333887092331
2016,France 3,Education,64,7772,57,4966,0.01288763592428514,0.3243162183799622,0.6756837816200377
2016,M6,Education,125,12447,99,5909,0.02115417160264004,0.41293177765030864,0.5870682223496914
2016,TF1,Education,147,17951,114,6560,0.022408536585365853,0.37666034338367316,0.6233396566163268
2017,France 2,Education,102,16491,82,6354,0.016052880075542966,0.3575824853419768,0.6424175146580233
2017,France 3,Education,74,9372,65,4785,0.015464994775339603,0.34530453147396,0.65469546852604
2017,M6,Education,103,9589,80,5571,0.01848860168730928,0.4374584978412171,0.562541502158783
2017,TF1,Education,179,22927,139,6100,0.02934426229508197,0.3840220579668857,0.6159779420331143
2018,France 2,Education,122,15785,99,6310,0.019334389857369256,0.3633825682400644,0.6366174317599356
2018,France 3,Education,77,7957,70,4798,0.016048353480616923,0.34802393356750483,0.6519760664324951
2018,M6,Education,142,12879,104,5487,0.025879351193730638,0.42497779964628846,0.5750222003537115
2018,TF1,Education,173,19599,131,6058,0.028557279630241003,0.38376840544014895,0.616231594559851
2019,France 2,Education,97,12671,72,6002,0.016161279573475507,0.3788897635886644,0.6211102364113357
2019,France 3,Education,57,5947,48,4738,0.012030392570704939,0.3508603539792523,0.6491396460207478
