year,channel_category,avg_female_share,avg_male_share,total_female_duration,total_male_duration,n_obs
2014,Animaux / Nature,0.22157569292499954,0.7784243070750004,1168428.1,3917385.8000000003,1918
2014,Autre,0.32013928324943314,0.6798607167505669,8177196.08,17468537.28,9385
2014,Documentaire / Découverte,0.17315149824363354,0.8268485017563665,451237.92,2159687.88,920
2014,Documentaire / Histoire,0.19020786364940998,0.8097921363505901,1407358.16,6005459.42,2557
2014,Généraliste,0.34492696422919367,0.6550730357708063,17363631.22,33098947.060000002,18862
2014,Information,0.3395003051013197,0.6604996948986803,8786772.78,17031284.32,8306
2014,Sport,0.1302768439397865,0.8697231560602134,1671627.5000000002,11302689.56,4240
2014,Voyage / Découverte,0.24606840157987855,0.7539315984201215,623242.0599999999,1928018.34,925
2015,Animaux / Nature,0.22595456381042747,0.7740454361895726,1173349.08,3793544.6999999997,1849
2015,Autre,0.31854672031842024,0.6814532796815798,8334398.04,17757807.34,9531
2015,Documentaire / Découverte,0.16018874591860882,0.8398112540813911,432854.88,2291416.02,941
2015,Documentaire / Histoire,0.20719320218225895,0.792806797817741,1532426.6199999999,5892900.92,2552
2015,Généraliste,0.3304934890467066,0.6695065109532934,16566352.68,33604079.86,18726
2015,Information,0.3467615431121628,0.6532384568878372,9203647.14,17175693.06,8503
2015,Sport,0.10110209904644753,0.8988979009535525,1261824.44,11547463.24,4136
2015,Voyage / Découverte,0.24321205046333907,0.756787949536661,624137.44,1968250.98,923
2016,Animaux / Nature,0.21728382424756726,0.7827161757524327,1114902.86,3839561.48,1859
2016,Autre,0.3197331310271104,0.6802668689728897,8378513.26,17862162.68,9415
2016,Documentaire / Découverte,0.17125860339648813,0.8287413966035119,435923.44,2145702.7,902
2016,Documentaire / Histoire,0.17060754541227954,0.8293924545877205,1300450.3399999999,6364457.3,2623
2016,Généraliste,0.34042656993918863,0.6595734300608114,17467183.18,33908388.26,19120
2016,Information,0.3439806782531486,0.6560193217468513,9057150.66,17121199.72,8467
2016,Sport,0.08274604118815465,0.9172539588118452,1056537.2,12083387.24,4178
2016,Voyage / Découverte,0.2233879098609965,0.7766120901390035,563585.2000000001,2013394.24,937
2017,Animaux / Nature,0.22940822614183579,0.7705917738581642,1157665.56,3748545.82,1879
2017,Autre,0.3175137634576601,0.68248623654234,8095100.5,17374141.56,9377
2017,Documentaire / Découverte,0.16450776667727654,0.8354922333227235,421381.72,2168659.42,933
2017,Documentaire / Histoire,0.19610616532835576,0.8038938346716442,1362772.36,5590585.36,2516
2017,Généraliste,0.34840639605266893,0.6515936039473311,17391893.54,32205263.1,18998
2017,Information,0.3306463547408824,0.6693536452591176,8816767.84,17793797.8,8635
2017,Sport,0.08456579765226907,0.915434202347731,1072751.0,11946380.4,4192
2017,Voyage / Découverte,0.23728560561085832,0.7627143943891417,545225.12,1770997.34,884
2018,Animaux / Nature,0.26325774346092534,0.7367422565390747,1308635.0,3598897.76,1875
2018,Autre,0.3370913417094375,0.6629086582905624,9814496.52,19156966.6,10664
2018,Documentaire / Découverte,0.19353124396579072,0.8064687560342093,475148.66,2013791.48,901
2018,Documentaire / Histoire,0.2222659988375781,0.7777340011624219,1865889.74,6543040.600000001,3051
2018,Généraliste,0.3519208643347369,0.6480791356652631,21650566.12,39608366.74,23462
2018,Information,0.34086156152237346,0.6591384384776265,10585204.88,20483893.66,10039
2018,Sport,0.0870499843689843,0.9129500156310156,1341384.66,14304361.34,5082
2018,Voyage / Découverte,0.26083955972432443,0.7391604402756756,620887.5800000001,1759742.96,916
2019,Animaux / Nature,0.2521643997644916,0.7478356002355083,1083961.48,3227724.74,1648
2019,Autre,0.3434402266284921,0.6565597733715078,5382870.78,10317028.92,5778
2019,Documentaire / Découverte,0.206757160145747,0.793242839854253,469197.27999999997,1819338.6400000001,824
2019,Documentaire / Histoire,0.21097662666240807,0.789023373337592,973313.82,3591207.44,1648
2019,Généraliste,0.35587856223787007,0.6441214377621299,9342711.5,16671846.88,9910
2019,Information,0.3238338173024861,0.6761661826975139,4998480.22,10475148.52,4954
2019,Sport,0.0992766782394534,0.9007233217605466,756108.98,7023729.36,2475
2019,Voyage / Découverte,0.2496463834351581,0.750353616564842,523637.86000000004,1578243.88,824
