hour,channel_name,avg_female_share,avg_male_share,total_female_duration,total_male_duration,n_obs
12,France 3,0.4455645783413048,0.5544354216586952,1685024.76,2095972.8,1193
12,France 5,0.413532866861807,0.586467133138193,1303397.74,1888561.96,1140
12,France O,0.41453138069860623,0.5854686193013937,1353375.48,1900215.0,1114
12,Histoire,0.22384535789499738,0.7761546421050026,601868.42,2078922.7,949
12,I-Télé/CNews,0.39452507882353066,0.6054749211764694,1460522.2,2243765.72,1189
12,L'Equipe 21,0.19636416153127154,0.8036358384687284,481415.19999999995,1979565.56,779
12,LCI,0.3847166262014561,0.615283373798544,1414806.18,2255991.16,1140
12,LCP/Public Sénat,0.28657145735835216,0.7134285426416479,1104931.36,2761457.72,1170
12,La chaîne Météo,0.20561210331756488,0.794387896682435,421288.16,1596106.74,670
12,M6,0.4659964742830491,0.5340035257169509,1346790.1,1569419.04,1097
12,Monte Carlo TMC,0.303894195406786,0.6961058045932139,865451.8200000001,1882442.06,1177
12,NRJ 12,0.3845024901579025,0.6154975098420975,1177232.34,1892144.8399999999,1185
12,Paris Première,0.2363601061023153,0.7636398938976846,422272.16,1396167.32,663
12,Planète+,0.173641905573842,0.826358094426158,310950.52,1500395.8,644
12,TF1,0.23669459435370727,0.7633054056462928,761387.72,2459418.66,1182
12,TV Breizh,0.3324999382123265,0.6675000617876735,522440.8399999999,1036211.8200000001,585
12,TV5 Monde,0.3300187288927604,0.6699812711072396,597192.6,1224595.44,633
12,Toute l'Histoire,0.19271246055727184,0.8072875394427281,358733.56,1511931.0,662
12,Téva,0.5080524907251209,0.4919475092748791,1181300.92,1084677.3,924
12,Voyage,0.23817420371092562,0.7618257962890743,412461.52,1323690.8,641
12,W9,0.4032934247833564,0.5967065752166436,834969.68,1239995.2000000002,1159
13,ARTE,0.29595305268760175,0.7040469473123981,905694.48,2136362.92,1163
13,Animaux,0.3709916122663211,0.6290083877336788,619601.54,1043822.98,621
13,BFM TV,0.38940357133137554,0.6105964286686244,1404633.24,2206684.7,1143
13,Canal+,0.2930858972679775,0.7069141027320225,1004931.56,2363816.72,1183
13,Canal+ Sport,0.08542661514183085,0.9145733848581692,159754.35999999996,1934231.26,705
13,Chasse et pêche,0.09716992853464067,0.9028300714653593,157202.04,1452981.1600000001,631
13,Chérie 25,0.4241966690391005,0.5758033309608995,905691.0399999999,1212747.4400000002,797
13,Comédie+,0.32243497738341714,0.6775650226165828,535885.8,1095249.04,647
13,D8/C8,0.35269800189799433,0.6473019981020057,778119.14,1410159.8,829
13,Euronews,0.3476465258342491,0.6523534741657508,642703.52,1202017.48,669
13,Eurosport France,0.08123908384147546,0.9187609161585245,264013.45999999996,3095221.58,1104
13,France 2,0.46331446747583455,0.5366855325241655,1650933.56,1905329.3800000001,1140
13,France 24,0.46758221564367314,0.5324177843563269,1575552.16,1792758.88,1076
13,France 3,0.27846428495204145,0.7215357150479585,947841.2000000001,2464656.22,1142
13,France 5,0.3902790131756796,0.6097209868243204,1272793.6800000002,2005371.84,1194
13,France O,0.37113018755978233,0.6288698124402177,1131143.52,1948348.9000000001,1157
13,Histoire,0.2177748437499836,0.7822251562500164,611774.66,2213962.02,983
13,I-Télé/CNews,0.3613038227252246,0.6386961772747755,1276192.3,2267355.06,1149
13,L'Equipe 21,0.17366564231249443,0.8263343576875055,451147.62,2153779.14,823
